Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
280-35-5823;B;Guarulhos;Membro;Feminino;Casa e Estilo de Vida;86.72;1;4.336;91.056;1/17/2019;18:45;Carteira Digital;86.72;4.761.904.762;4.336;7.9
554-53-8700;C;São Paulo;Membro;Masculino;Casa e Estilo de Vida;56.11;2;5.611;117.831;02/02/2019;10:11;Dinheiro;112.22;4.761.904.762;5.611;6.3
354-25-5821;B;Guarulhos;Membro;Feminino;Esportes e Viagem;69.12;6;20.736;435.456;02/08/2019;13:03;Dinheiro;414.72;4.761.904.762;20.736;5.6
228-96-1411;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;98.7;8;39.48;829.08;03/04/2019;20:39;Dinheiro;789.6;4.761.904.762;39.48;7.6
617-15-4209;C;São Paulo;Membro;Masculino;Saúde e Beleza;15.37;2;1.537;32.277;3/16/2019;19:47;Dinheiro;30.74;4.761.904.762;1.537;7.2
132-32-9879;B;Guarulhos;Membro;Feminino;Acessórios Eletrônicos;93.96;4;18.792;394.632;03/09/2019;18:00;Dinheiro;375.84;4.761.904.762;18.792;9.5
370-41-7321;B;Guarulhos;Membro;Masculino;Saúde e Beleza;56.69;9;255.105;5.357.205;2/27/2019;17:24;Cartão de Crédito;510.21;4.761.904.762;255.105;8.4
727-46-3608;B;Guarulhos;Membro;Feminino;Alimentos e Bebidas;20.01;9;90.045;1.890.945;02/06/2019;15:47;Carteira Digital;180.09;4.761.904.762;90.045;4.1
669-54-1719;B;Guarulhos;Membro;Masculino;Acessórios Eletrônicos;18.93;6;5.679;119.259;02/10/2019;12:45;Cartão de Crédito;113.58;4.761.904.762;5.679;8.1
574-22-5561;C;São Paulo;Membro;Feminino;Acessórios de Moda;82.63;10;41.315;867.615;3/19/2019;17:08;Carteira Digital;826.3;4.761.904.762;41.315;7.9
326-78-5178;C;São Paulo;Membro;Masculino;Alimentos e Bebidas;91.4;7;31.99;671.79;02/03/2019;10:19;Dinheiro;639.8;4.761.904.762;31.99;9.5
162-48-8011;A;São Bernado do Campo;Membro;Feminino;Alimentos e Bebidas;44.59;5;111.475;2.340.975;02/10/2019;15:10;Dinheiro;222.95;4.761.904.762;111.475;8.5
616-24-2851;B;Guarulhos;Membro;Feminino;Acessórios de Moda;17.87;4;3.574;75.054;3/22/2019;14:42;Carteira Digital;71.48;4.761.904.762;3.574;6.5
778-71-5554;C;São Paulo;Membro;Masculino;Acessórios de Moda;15.43;1;0.7715;162.015;1/25/2019;15:46;Cartão de Crédito;15.43;4.761.904.762;0.7715;6.1
242-55-6721;B;Guarulhos;Normal;Masculino;Casa e Estilo de Vida;16.16;2;1.616;33.936;03/07/2019;11:49;Carteira Digital;32.32;4.761.904.762;1.616;6.5
399-46-5918;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;85.98;8;34.392;722.232;2/28/2019;19:01;Dinheiro;687.84;4.761.904.762;34.392;8.2
106-35-6779;A;São Bernado do Campo;Membro;Masculino;Casa e Estilo de Vida;44.34;2;4.434;93.114;3/27/2019;11:26;Dinheiro;88.68;4.761.904.762;4.434;5.8
635-40-6220;A;São Bernado do Campo;Normal;Masculino;Saúde e Beleza;89.6;8;35.84;752.64;02/07/2019;11:28;Carteira Digital;716.8;4.761.904.762;35.84;6.6
817-48-8732;A;São Bernado do Campo;Membro;Feminino;Casa e Estilo de Vida;72.35;10;36.175;759.675;1/20/2019;15:55;Dinheiro;723.5;4.761.904.762;36.175;5.4
120-06-4233;C;São Paulo;Normal;Masculino;Acessórios Eletrônicos;30.61;6;9.183;192.843;03/12/2019;20:36;Dinheiro;183.66;4.761.904.762;9.183;9.3
285-68-5083;C;São Paulo;Membro;Feminino;Esportes e Viagem;24.74;3;3.711;77.931;2/15/2019;17:47;Cartão de Crédito;74.22;4.761.904.762;3.711;10
803-83-5989;C;São Paulo;Normal;Masculino;Casa e Estilo de Vida;55.73;6;16.719;351.099;2/24/2019;10:55;Carteira Digital;334.38;4.761.904.762;16.719;7
347-34-2234;B;Guarulhos;Membro;Feminino;Esportes e Viagem;55.07;9;247.815;5.204.115;02/03/2019;13:40;Carteira Digital;495.63;4.761.904.762;247.815;10
199-75-8169;A;São Bernado do Campo;Membro;Masculino;Esportes e Viagem;15.81;10;7.905;166.005;03/06/2019;12:27;Cartão de Crédito;158.1;4.761.904.762;7.905;8.6
853-23-2453;B;Guarulhos;Membro;Masculino;Saúde e Beleza;75.74;4;15.148;318.108;2/14/2019;14:35;Dinheiro;302.96;4.761.904.762;15.148;7.6
877-22-3308;A;São Bernado do Campo;Membro;Masculino;Saúde e Beleza;15.87;10;7.935;166.635;3/13/2019;16:40;Dinheiro;158.7;4.761.904.762;7.935;5.8
838-78-4295;C;São Paulo;Normal;Feminino;Saúde e Beleza;33.47;2;3.347;70.287;02/10/2019;15:43;Carteira Digital;66.94;4.761.904.762;3.347;6.7
109-28-2512;B;Guarulhos;Membro;Feminino;Acessórios de Moda;97.61;6;29.283;614.943;01/07/2019;15:01;Carteira Digital;585.66;4.761.904.762;29.283;9.9
232-11-3025;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;78.77;10;39.385;827.085;1/24/2019;10:04;Dinheiro;787.7;4.761.904.762;39.385;6.4
382-03-4532;A;São Bernado do Campo;Membro;Feminino;Saúde e Beleza;18.33;1;0.9165;192.465;02/02/2019;18:50;Dinheiro;18.33;4.761.904.762;0.9165;4.3
393-65-2792;C;São Paulo;Normal;Masculino;Alimentos e Bebidas;89.48;10;44.74;939.54;01/06/2019;12:46;Cartão de Crédito;894.8;4.761.904.762;44.74;9.6
796-12-2025;C;São Paulo;Normal;Masculino;Acessórios de Moda;62.12;10;31.06;652.26;02/11/2019;16:19;Dinheiro;621.2;4.761.904.762;31.06;5.9
510-95-6347;B;Guarulhos;Membro;Feminino;Alimentos e Bebidas;48.52;3;7.278;152.838;03/05/2019;18:17;Carteira Digital;145.56;4.761.904.762;7.278;4
841-35-6630;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;75.91;6;22.773;478.233;03/09/2019;18:21;Dinheiro;455.46;4.761.904.762;22.773;8.7
287-21-9091;A;São Bernado do Campo;Normal;Masculino;Casa e Estilo de Vida;74.67;9;336.015;7.056.315;1/22/2019;10:55;Carteira Digital;672.03;4.761.904.762;336.015;9.4
732-94-0499;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;41.65;10;20.825;437.325;1/13/2019;17:04;Cartão de Crédito;416.5;4.761.904.762;20.825;5.4
263-10-3913;C;São Paulo;Membro;Masculino;Acessórios de Moda;49.04;9;22.068;463.428;01/09/2019;14:20;Cartão de Crédito;441.36;4.761.904.762;22.068;8.6
381-20-0914;A;São Bernado do Campo;Membro;Feminino;Acessórios de Moda;20.01;9;90.045;1.890.945;01/12/2019;15:48;Cartão de Crédito;180.09;4.761.904.762;90.045;5.7
829-49-1914;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;78.31;10;39.155;822.255;03/05/2019;16:24;Carteira Digital;783.1;4.761.904.762;39.155;6.6
756-01-7507;C;São Paulo;Normal;Feminino;Saúde e Beleza;20.38;5;5.095;106.995;1/22/2019;18:56;Dinheiro;101.9;4.761.904.762;5.095;6
870-72-4431;C;São Paulo;Normal;Feminino;Saúde e Beleza;99.19;6;29.757;624.897;1/21/2019;14:42;Cartão de Crédito;595.14;4.761.904.762;29.757;5.5
847-38-7188;B;Guarulhos;Normal;Feminino;Alimentos e Bebidas;96.68;3;14.502;304.542;1/26/2019;19:56;Carteira Digital;290.04;4.761.904.762;14.502;6.4
480-63-2856;C;São Paulo;Normal;Masculino;Alimentos e Bebidas;19.25;8;7.7;161.7;1/23/2019;18:37;Carteira Digital;154;4.761.904.762;7.7;6.6
787-56-0757;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;80.36;4;16.072;337.512;2/23/2019;18:45;Cartão de Crédito;321.44;4.761.904.762;16.072;8.3
360-39-5055;C;São Paulo;Membro;Masculino;Esportes e Viagem;48.91;5;122.275;2.567.775;03/09/2019;10:17;Dinheiro;244.55;4.761.904.762;122.275;6.6
730-50-9884;C;São Paulo;Normal;Feminino;Esportes e Viagem;83.06;7;29.071;610.491;03/05/2019;14:31;Carteira Digital;581.42;4.761.904.762;29.071;4
362-58-8315;C;São Paulo;Normal;Masculino;Acessórios de Moda;76.52;5;19.13;401.73;3/25/2019;10:23;Dinheiro;382.6;4.761.904.762;19.13;9.9
633-44-8566;A;São Bernado do Campo;Membro;Masculino;Alimentos e Bebidas;49.38;7;17.283;362.943;3/27/2019;20:35;Cartão de Crédito;345.66;4.761.904.762;17.283;7.3
504-35-8843;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;42.47;1;21.235;445.935;01/02/2019;16:57;Dinheiro;42.47;4.761.904.762;21.235;5.7
318-68-5053;B;Guarulhos;Normal;Feminino;Saúde e Beleza;76.99;6;23.097;485.037;2/27/2019;17:55;Dinheiro;461.94;4.761.904.762;23.097;6.1
565-80-5980;C;São Paulo;Membro;Feminino;Casa e Estilo de Vida;47.38;4;9.476;198.996;1/23/2019;10:25;Dinheiro;189.52;4.761.904.762;9.476;7.1
225-32-0908;C;São Paulo;Normal;Feminino;Esportes e Viagem;44.86;10;22.43;471.03;1/26/2019;19:54;Carteira Digital;448.6;4.761.904.762;22.43;8.2
873-51-0671;A;São Bernado do Campo;Membro;Feminino;Esportes e Viagem;21.98;7;7.693;161.553;01/10/2019;16:42;Carteira Digital;153.86;4.761.904.762;7.693;5.1
152-08-9985;B;Guarulhos;Membro;Masculino;Saúde e Beleza;64.36;9;28.962;608.202;03/12/2019;12:09;Cartão de Crédito;579.24;4.761.904.762;28.962;8.6
512-91-0811;C;São Paulo;Normal;Masculino;Saúde e Beleza;89.75;1;44.875;942.375;02/06/2019;20:05;Cartão de Crédito;89.75;4.761.904.762;44.875;6.6
594-34-4444;A;São Bernado do Campo;Normal;Masculino;Acessórios Eletrônicos;97.16;1;4.858;102.018;03/08/2019;20:38;Carteira Digital;97.16;4.761.904.762;4.858;7.2
766-85-7061;B;Guarulhos;Normal;Masculino;Saúde e Beleza;87.87;10;43.935;922.635;3/29/2019;10:25;Carteira Digital;878.7;4.761.904.762;43.935;5.1
871-39-9221;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;12.45;6;3.735;78.435;02/09/2019;13:11;Dinheiro;74.7;4.761.904.762;3.735;4.1
865-92-6136;A;São Bernado do Campo;Normal;Masculino;Alimentos e Bebidas;52.75;3;79.125;1.661.625;3/23/2019;10:16;Carteira Digital;158.25;4.761.904.762;79.125;9.3
733-01-9107;B;Guarulhos;Normal;Masculino;Casa e Estilo de Vida;82.7;6;24.81;521.01;03/05/2019;18:14;Dinheiro;496.2;4.761.904.762;24.81;7.4
163-56-7055;C;São Paulo;Membro;Masculino;Acessórios de Moda;48.71;1;24.355;511.455;3/26/2019;19:20;Dinheiro;48.71;4.761.904.762;24.355;4.1
189-98-2939;C;São Paulo;Normal;Masculino;Acessórios de Moda;78.55;9;353.475;7.422.975;03/01/2019;13:22;Dinheiro;706.95;4.761.904.762;353.475;7.2
551-21-3069;C;São Paulo;Normal;Feminino;Acessórios Eletrônicos;23.07;9;103.815;2.180.115;02/01/2019;11:27;Dinheiro;207.63;4.761.904.762;103.815;4.9
212-62-1842;A;São Bernado do Campo;Normal;Masculino;Alimentos e Bebidas;58.26;6;17.478;367.038;3/28/2019;16:44;Dinheiro;349.56;4.761.904.762;17.478;9.9
716-39-1409;B;Guarulhos;Normal;Masculino;Saúde e Beleza;30.35;7;106.225;2.230.725;3/19/2019;18:19;Dinheiro;212.45;4.761.904.762;106.225;8
704-48-3927;A;São Bernado do Campo;Membro;Masculino;Acessórios Eletrônicos;88.67;10;44.335;931.035;01/12/2019;14:50;Carteira Digital;886.7;4.761.904.762;44.335;7.3
628-34-3388;C;São Paulo;Normal;Masculino;Acessórios de Moda;27.38;6;8.214;172.494;01/05/2019;20:54;Cartão de Crédito;164.28;4.761.904.762;8.214;7.9
630-74-5166;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;62.13;6;18.639;391.419;3/22/2019;20:19;Dinheiro;372.78;4.761.904.762;18.639;7.4
588-01-7461;C;São Paulo;Normal;Feminino;Alimentos e Bebidas;33.98;9;15.291;321.111;3/24/2019;10:43;Dinheiro;305.82;4.761.904.762;15.291;4.2
861-77-0145;C;São Paulo;Membro;Masculino;Acessórios Eletrônicos;81.97;10;40.985;860.685;03/03/2019;14:30;Dinheiro;819.7;4.761.904.762;40.985;9.2
479-26-8945;B;Guarulhos;Membro;Feminino;Esportes e Viagem;16.49;2;1.649;34.629;02/05/2019;11:32;Carteira Digital;32.98;4.761.904.762;1.649;4.6
210-67-5886;C;São Paulo;Membro;Feminino;Saúde e Beleza;98.21;3;147.315;3.093.615;02/05/2019;10:41;Cartão de Crédito;294.63;4.761.904.762;147.315;7.8
227-78-1148;B;Guarulhos;Normal;Feminino;Acessórios de Moda;72.84;7;25.494;535.374;2/15/2019;12:44;Dinheiro;509.88;4.761.904.762;25.494;8.4
645-44-1170;A;São Bernado do Campo;Membro;Masculino;Casa e Estilo de Vida;58.07;9;261.315;5.487.615;1/19/2019;20:07;Carteira Digital;522.63;4.761.904.762;261.315;4.3
237-01-6122;C;São Paulo;Membro;Feminino;Casa e Estilo de Vida;80.79;9;363.555;7.634.655;02/01/2019;20:31;Cartão de Crédito;727.11;4.761.904.762;363.555;9.5
225-98-1496;C;São Paulo;Normal;Feminino;Acessórios de Moda;27.02;3;4.053;85.113;03/02/2019;13:01;Cartão de Crédito;81.06;4.761.904.762;4.053;7.1
291-32-1427;B;Guarulhos;Membro;Masculino;Acessórios de Moda;21.94;5;5.485;115.185;03/05/2019;12:29;Carteira Digital;109.7;4.761.904.762;5.485;5.3
659-65-8956;B;Guarulhos;Membro;Masculino;Acessórios de Moda;51.36;1;2.568;53.928;1/16/2019;15:26;Carteira Digital;51.36;4.761.904.762;2.568;5.2
642-32-2990;A;São Bernado do Campo;Normal;Feminino;Alimentos e Bebidas;10.96;10;5.48;115.08;02/02/2019;20:48;Carteira Digital;109.6;4.761.904.762;5.48;6
378-24-2715;B;Guarulhos;Normal;Masculino;Casa e Estilo de Vida;53.44;2;5.344;112.224;1/20/2019;20:38;Carteira Digital;106.88;4.761.904.762;5.344;4.1
638-60-7125;A;São Bernado do Campo;Normal;Feminino;Acessórios Eletrônicos;99.56;8;39.824;836.304;2/14/2019;17:03;Cartão de Crédito;796.48;4.761.904.762;39.824;5.2
659-36-1684;C;São Paulo;Membro;Masculino;Esportes e Viagem;57.12;7;19.992;419.832;01/12/2019;12:02;Cartão de Crédito;399.84;4.761.904.762;19.992;6.5
219-22-9386;B;Guarulhos;Membro;Masculino;Esportes e Viagem;99.96;9;44.982;944.622;03/09/2019;17:26;Cartão de Crédito;899.64;4.761.904.762;44.982;4.2
336-78-2147;C;São Paulo;Membro;Masculino;Casa e Estilo de Vida;63.91;8;25.564;536.844;3/13/2019;19:52;Cartão de Crédito;511.28;4.761.904.762;25.564;4.6
268-27-6179;B;Guarulhos;Membro;Feminino;Acessórios de Moda;56.47;8;22.588;474.348;03/09/2019;14:57;Carteira Digital;451.76;4.761.904.762;22.588;7.3
668-90-8900;A;São Bernado do Campo;Normal;Feminino;Casa e Estilo de Vida;93.69;7;327.915;6.886.215;03/10/2019;18:44;Cartão de Crédito;655.83;4.761.904.762;327.915;4.5
870-54-3162;A;São Bernado do Campo;Normal;Feminino;Esportes e Viagem;32.25;5;80.625;1.693.125;1/27/2019;13:26;Dinheiro;161.25;4.761.904.762;80.625;9
189-08-9157;C;São Paulo;Normal;Feminino;Acessórios de Moda;31.73;9;142.785;2.998.485;01/08/2019;16:17;Cartão de Crédito;285.57;4.761.904.762;142.785;5.9
663-86-9076;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;68.54;8;27.416;575.736;01/08/2019;15:57;Carteira Digital;548.32;4.761.904.762;27.416;8.5
549-84-7482;B;Guarulhos;Normal;Feminino;Esportes e Viagem;90.28;9;40.626;853.146;02/08/2019;11:15;Carteira Digital;812.52;4.761.904.762;40.626;7.2
191-10-6171;B;Guarulhos;Normal;Feminino;Acessórios de Moda;39.62;7;13.867;291.207;1/25/2019;13:18;Dinheiro;277.34;4.761.904.762;13.867;7.5
802-70-5316;A;São Bernado do Campo;Membro;Feminino;Esportes e Viagem;92.13;6;27.639;580.419;03/06/2019;20:34;Dinheiro;552.78;4.761.904.762;27.639;8.3
695-51-0018;B;Guarulhos;Normal;Feminino;Esportes e Viagem;34.84;4;6.968;146.328;02/10/2019;18:36;Dinheiro;139.36;4.761.904.762;6.968;7.4
590-83-4591;B;Guarulhos;Membro;Masculino;Acessórios Eletrônicos;87.45;6;26.235;550.935;2/17/2019;14:40;Cartão de Crédito;524.7;4.761.904.762;26.235;8.8
483-71-1164;C;São Paulo;Normal;Feminino;Saúde e Beleza;81.3;6;24.39;512.19;03/08/2019;16:43;Carteira Digital;487.8;4.761.904.762;24.39;5.3
597-78-7908;C;São Paulo;Normal;Masculino;Acessórios de Moda;90.22;3;13.533;284.193;2/18/2019;19:39;Dinheiro;270.66;4.761.904.762;13.533;6.2
700-81-1757;A;São Bernado do Campo;Normal;Feminino;Acessórios Eletrônicos;26.31;5;65.775;1.381.275;1/18/2019;20:59;Cartão de Crédito;131.55;4.761.904.762;65.775;8.8
354-39-5160;A;São Bernado do Campo;Membro;Feminino;Casa e Estilo de Vida;34.42;6;10.326;216.846;2/18/2019;15:39;Dinheiro;206.52;4.761.904.762;10.326;9.8
241-72-9525;B;Guarulhos;Normal;Masculino;Esportes e Viagem;51.91;10;25.955;545.055;2/16/2019;12:21;Dinheiro;519.1;4.761.904.762;25.955;8.2
575-30-8091;A;São Bernado do Campo;Normal;Masculino;Esportes e Viagem;72.5;8;29;609;3/16/2019;19:25;Carteira Digital;580;4.761.904.762;29;9.2
731-81-9469;C;São Paulo;Membro;Feminino;Esportes e Viagem;89.8;10;44.9;942.9;1/23/2019;13:00;Cartão de Crédito;898;4.761.904.762;44.9;5.4
280-17-4359;C;São Paulo;Membro;Masculino;Saúde e Beleza;90.5;10;45.25;950.25;1/25/2019;13:48;Dinheiro;905;4.761.904.762;45.25;8.1
338-65-2210;C;São Paulo;Membro;Feminino;Saúde e Beleza;68.6;10;34.3;720.3;02/05/2019;19:57;Dinheiro;686;4.761.904.762;34.3;9.1
488-25-4221;C;São Paulo;Membro;Feminino;Alimentos e Bebidas;30.41;1;15.205;319.305;2/22/2019;10:36;Cartão de Crédito;30.41;4.761.904.762;15.205;8.4
239-10-7476;A;São Bernado do Campo;Normal;Feminino;Casa e Estilo de Vida;77.95;6;23.385;491.085;1/21/2019;16:37;Carteira Digital;467.7;4.761.904.762;23.385;8
458-41-1477;C;São Paulo;Normal;Feminino;Saúde e Beleza;46.26;6;13.878;291.438;03/08/2019;17:11;Cartão de Crédito;277.56;4.761.904.762;13.878;9.5
685-64-1609;A;São Bernado do Campo;Membro;Feminino;Acessórios de Moda;30.14;10;15.07;316.47;02/10/2019;12:28;Carteira Digital;301.4;4.761.904.762;15.07;9.2
568-90-5112;C;São Paulo;Normal;Masculino;Saúde e Beleza;66.14;4;13.228;277.788;3/19/2019;12:46;Cartão de Crédito;264.56;4.761.904.762;13.228;5.6
262-47-2794;B;Guarulhos;Membro;Masculino;Casa e Estilo de Vida;71.86;8;28.744;603.624;03/06/2019;15:07;Cartão de Crédito;574.88;4.761.904.762;28.744;6.2
238-49-0436;A;São Bernado do Campo;Normal;Masculino;Saúde e Beleza;32.46;8;12.984;272.664;3/27/2019;13:48;Cartão de Crédito;259.68;4.761.904.762;12.984;4.9
608-96-3517;B;Guarulhos;Membro;Feminino;Acessórios de Moda;91.54;4;18.308;384.468;3/23/2019;19:20;Cartão de Crédito;366.16;4.761.904.762;18.308;4.8
584-86-7256;C;São Paulo;Membro;Masculino;Esportes e Viagem;34.56;7;12.096;254.016;03/11/2019;16:07;Cartão de Crédito;241.92;4.761.904.762;12.096;7.3
746-94-0204;A;São Bernado do Campo;Normal;Masculino;Acessórios de Moda;83.24;9;37.458;786.618;1/29/2019;11:56;Cartão de Crédito;749.16;4.761.904.762;37.458;7.4
